driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s
13Z. MaloneyMALTrident,18,45:33.153,-,-,165.893,2:07.838,12,1035,2022,ROUND7Summary,,,13,Z  Maloney,MAL,Trident,2733.153,127.838,
22R. StanekSTATrident,18,45:34.199,1.046,1.046,165.830,2:08.034,14,1035,2022,ROUND7Summary,,,22,R  Stanek,STA,Trident,2734.199,128.034,1.046
36O. BearmanBEAPREMA Racing,18,45:38.837,5.684,4.638,165.549,2:08.290,12,1035,2022,ROUND7Summary,,,36,O  Bearman,BEA,PREMA Racing,2738.837,128.29,5.684
421O. GoetheGOECampos Racing,18,45:39.890,6.737,1.053,165.485,2:08.950,15,1035,2022,ROUND7Summary,,,421,O  Goethe,GOE,Campos Racing,2739.89,128.95,6.737
51J. EdgarEDGTrident,18,45:40.586,7.433,0.696,165.443,2:08.402,12,1035,2022,ROUND7Summary,,,51,J  Edgar,EDG,Trident,2740.586,128.402,7.433
610C. ColletCCOMP Motorsport,18,45:42.450,9.297,1.864,165.331,2:08.155,6,1035,2022,ROUND7Summary,,,610,C  Collet,CCO,MP Motorsport,2742.45,128.155,9.297
725W. AlataloALAJenzer Motorsport,18,45:44.032,10.879,0.048,165.235,2:08.736,6,1035,2022,ROUND7Summary,,,725,W  Alatalo,ALA,Jenzer Motorsport,2744.032,128.736,10.879
820D. VidalesVIDCampos Racing,18,45:43.984,10.831,1.534,165.238,2:08.865,6,1035,2022,ROUND7Summary,,,820,D  Vidales,VID,Campos Racing,2743.984,128.865,10.831
911A. SmolyarSMOMP Motorsport,18,45:44.818,11.665,0.786,165.188,2:09.130,12,1035,2022,ROUND7Summary,,,911,A  Smolyar,SMO,MP Motorsport,2744.818,129.13,11.665
1031R. UshijimaUSHVan Amersfoort Racing,18,45:46.513,13.360,1.695,165.086,2:09.216,13,1035,2022,ROUND7Summary,,,1031,R  Ushijima,USH,Van Amersfoort Racing,2746.513,129.216,13.36
114A. LeclercLECPREMA Racing,18,45:46.761,13.608,0.248,165.071,2:08.852,6,1035,2022,ROUND7Summary,,,114,A  Leclerc,LEC,PREMA Racing,2746.761,128.852,13.608
1229F. ColapintoCOLVan Amersfoort Racing,18,45:48.008,14.855,1.247,164.996,2:09.006,18,1035,2022,ROUND7Summary,,,1229,F  Colapinto,COL,Van Amersfoort Racing,2748.008,129.006,14.855
1326Z. O'SullivanOSUCarlin,18,45:48.937,15.784,0.929,164.941,2:09.359,14,1035,2022,ROUND7Summary,,,1326,Z  O'Sullivan,OSU,Carlin,2748.937,129.359,15.784
1418I. HadjarHADHitech Grand Prix,18,45:49.576,16.423,0.639,164.902,2:08.843,12,1035,2022,ROUND7Summary,,,1418,I  Hadjar,HAD,Hitech Grand Prix,2749.576,128.843,16.423
159J. CorreaJCOART Grand Prix,18,45:50.062,16.909,0.486,164.873,2:09.355,15,1035,2022,ROUND7Summary,,,159,J  Correa,JCO,ART Grand Prix,2750.062,129.355,16.909
1617K. FrederickFREHitech Grand Prix,18,45:51.105,17.952,1.043,164.811,2:09.187,6,1035,2022,ROUND7Summary,,,1617,K  Frederick,FRE,Hitech Grand Prix,2751.105,129.187,17.952
175J. CrawfordCRAPREMA Racing,18,45:51.464,18.311,0.359,164.789,2:08.992,6,1035,2022,ROUND7Summary,,,175,J  Crawford,CRA,PREMA Racing,2751.464,128.992,18.311
1827B. BenavidesBENCarlin,18,45:53.254,20.101,1.790,164.682,2:09.437,12,1035,2022,ROUND7Summary,,,1827,B  Benavides,BEN,Carlin,2753.254,129.437,20.101
1930R. VillagómezVILVan Amersfoort Racing,18,45:53.763,20.610,0.509,164.652,2:09.710,12,1035,2022,ROUND7Summary,,,1930,R  Villagómez,VIL,Van Amersfoort Racing,2753.763,129.71,20.61
2019N. AzmanAZMHitech Grand Prix,18,45:54.093,20.940,0.330,164.632,2:09.006,6,1035,2022,ROUND7Summary,,,2019,N  Azman,AZM,Hitech Grand Prix,2754.093,129.006,20.94
2116F. PizziPIZCharouz Racing System,18,45:54.721,21.568,0.628,164.594,2:09.498,12,1035,2022,ROUND7Summary,,,2116,F  Pizzi,PIZ,Charouz Racing System,2754.721,129.498,21.568
2222J. MartíMARCampos Racing,18,45:56.906,23.753,2.185,164.464,2:09.493,6,1035,2022,ROUND7Summary,,,2222,J  Martí,MAR,Campos Racing,2756.906,129.493,23.753
2315C. MansellMANCharouz Racing System,18,45:57.844,24.691,0.938,164.408,2:09.730,12,1035,2022,ROUND7Summary,,,2315,C  Mansell,MAN,Charouz Racing System,2757.844,129.73,24.691
2428E. TrulliTRUCarlin,18,45:58.061,24.908,0.217,164.395,2:09.853,6,1035,2022,ROUND7Summary,,,2428,E  Trulli,TRU,Carlin,2758.061,129.853,24.908
2514L. TóthTOTCharouz Racing System,18,45:58.557,25.404,0.496,164.365,2:09.223,13,1035,2022,ROUND7Summary,,,2514,L  Tóth,TOT,Charouz Racing System,2758.557,129.223,25.404
2624F. MalvestitiMALJenzer Motorsport,18,46:47.121,73.968,48.564,161.522,2:09.479,6,1035,2022,ROUND7Summary,,,2624,F  Malvestiti,MAL,Jenzer Motorsport,2807.121,129.47899999999998,73.968
DNF8G. SaucySAUART Grand Prix,6,16:12.161,DNF,-,155.159,2:09.168,6,1035,2022,ROUND7Summary,,DNF,8,G  Saucy,SAU,ART Grand Prix,972.161,129.168,
DNF7V. MartinsMARART Grand Prix,1,3:01.798,DNF,-,136.239,-,-,1035,2022,ROUND7Summary,,DNF,7,V  Martins,MAR,ART Grand Prix,181.798,,
DNF23I. CohenCOHJenzer Motorsport,1,2:56.987,DNF,-,139.942,-,-,1035,2022,ROUND7Summary,,DNF,23,I  Cohen,COH,Jenzer Motorsport,176.987,,
DNF12K. MainiMAIMP Motorsport,-,-,DNF,-,-,-,-,1035,2022,ROUND7Summary,,DNF,12,K  Maini,MAI,MP Motorsport,,,
13Z. MaloneyMALTrident,26,44:04.515,-,-,150.66,1:27.100,2,1036,2022,ROUND8Summary,,,13,Z  Maloney,MAL,Trident,2644.515,87.1,
27V. MartinsMARART Grand Prix,26,44:05.606,1.091,1.091,150.597,1:27.111,2,1036,2022,ROUND8Summary,,,27,V  Martins,MAR,ART Grand Prix,2645.606,87.111,1.091
329F. ColapintoCOLVan Amersfoort Racing,26,44:05.932,1.417,0.326,150.579,1:27.207,10,1036,2022,ROUND8Summary,,,329,F  Colapinto,COL,Van Amersfoort Racing,2645.932,87.207,1.417
42R. StanekSTATrident,26,44:06.703,2.188,0.771,150.535,1:27.209,10,1036,2022,ROUND8Summary,,,42,R  Stanek,STA,Trident,2646.703,87.209,2.188
518I. HadjarHADHitech Grand Prix,26,44:07.265,2.750,0.562,150.503,1:27.307,10,1036,2022,ROUND8Summary,,,518,I  Hadjar,HAD,Hitech Grand Prix,2647.265,87.307,2.75
65J. CrawfordCRAPREMA Racing,26,44:07.493,2.978,0.228,150.49,1:27.180,3,1036,2022,ROUND8Summary,,,65,J  Crawford,CRA,PREMA Racing,2647.493,87.18,2.978
710C. ColletCCOMP Motorsport,26,44:08.893,4.378,1.400,150.411,1:27.342,3,1036,2022,ROUND8Summary,,,710,C  Collet,CCO,MP Motorsport,2648.893,87.342,4.378
821S. MontoyaMONCampos Racing,26,44:09.790,5.275,0.897,150.36,1:27.368,3,1036,2022,ROUND8Summary,,,821,S  Montoya,MON,Campos Racing,2649.79,87.368,5.275
91J. EdgarEDGTrident,26,44:10.083,5.568,0.293,150.343,1:27.267,3,1036,2022,ROUND8Summary,,,91,J  Edgar,EDG,Trident,2650.083,87.267,5.568
1011A. SmolyarSMOMP Motorsport,26,44:13.883,9.368,0.873,150.128,1:27.466,11,1036,2022,ROUND8Summary,,,1011,A  Smolyar,SMO,MP Motorsport,2653.883,87.46600000000001,9.368
1112K. MainiMAIMP Motorsport,26,44:15.337,10.822,0.694,150.046,1:27.906,11,1036,2022,ROUND8Summary,,,1112,K  Maini,MAI,MP Motorsport,2655.337,87.906,10.822
124A. LeclercLECPREMA Racing,26,44:15.737,11.222,0.400,150.023,1:27.525,12,1036,2022,ROUND8Summary,,,124,A  Leclerc,LEC,PREMA Racing,2655.737,87.525,11.222
1317K. FrederickFREHitech Grand Prix,26,44:16.733,12.218,0.996,149.967,1:28.137,10,1036,2022,ROUND8Summary,,,1317,K  Frederick,FRE,Hitech Grand Prix,2656.733,88.137,12.218
1422J. MartíMARCampos Racing,26,44:17.445,12.930,0.712,149.927,1:27.717,11,1036,2022,ROUND8Summary,,,1422,J  Martí,MAR,Campos Racing,2657.445,87.717,12.93
1515D. SchumacherSCHCharouz Racing System,26,44:18.139,13.624,0.694,149.887,1:28.132,3,1036,2022,ROUND8Summary,,,1515,D  Schumacher,SCH,Charouz Racing System,2658.139,88.132,13.624
1623I. CohenCOHJenzer Motorsport,26,44:19.312,14.797,0.498,149.821,1:28.209,15,1036,2022,ROUND8Summary,,,1623,I  Cohen,COH,Jenzer Motorsport,2659.312,88.209,14.797
1728E. TrulliTRUCarlin,26,44:19.971,15.456,0.659,149.784,1:28.336,11,1036,2022,ROUND8Summary,,,1728,E  Trulli,TRU,Carlin,2659.971,88.336,15.456
1816F. PizziPIZCharouz Racing System,26,44:20.122,15.607,0.151,149.776,1:28.227,15,1036,2022,ROUND8Summary,,,1816,F  Pizzi,PIZ,Charouz Racing System,2660.122,88.227,15.607
1931R. UshijimaUSHVan Amersfoort Racing,26,44:20.590,16.075,0.468,149.749,1:28.290,3,1036,2022,ROUND8Summary,,,1931,R  Ushijima,USH,Van Amersfoort Racing,2660.59,88.28999999999999,16.075
2024F. MalvestitiMALJenzer Motorsport,26,44:20.971,16.456,0.381,149.728,1:28.777,3,1036,2022,ROUND8Summary,,,2024,F  Malvestiti,MAL,Jenzer Motorsport,2660.971,88.777,16.456
2119N. AzmanAZMHitech Grand Prix,26,44:21.528,17.013,0.557,149.697,1:28.774,3,1036,2022,ROUND8Summary,,,2119,N  Azman,AZM,Hitech Grand Prix,2661.528,88.774,17.013
2214L. TóthTOTCharouz Racing System,26,44:22.044,17.529,0.516,149.667,1:29.060,15,1036,2022,ROUND8Summary,,,2214,L  Tóth,TOT,Charouz Racing System,2662.044,89.06,17.529
2326Z. O'SullivanOSUCarlin,26,44:14.643,10.128,0.760,150.085,1:27.491,10,1036,2022,ROUND8Summary,,,2326,Z  O'Sullivan,OSU,Carlin,2654.643,87.491,10.128
249J. CorreaJCOART Grand Prix,26,44:18.814,14.299,0.675,149.849,1:27.456,11,1036,2022,ROUND8Summary,,,249,J  Correa,JCO,ART Grand Prix,2658.814,87.456,14.299
256O. BearmanBEAPREMA Racing,26,44:13.010,8.495,2.927,150.177,1:27.552,15,1036,2022,ROUND8Summary,,,256,O  Bearman,BEA,PREMA Racing,2653.01,87.55199999999999,8.495
DNF8G. SaucySAUART Grand Prix,22,37:40.454,DNF,-,149.126,1:27.505,11,1036,2022,ROUND8Summary,,DNF,8,G  Saucy,SAU,ART Grand Prix,2260.454,87.505,
DNF30R. VillagómezVILVan Amersfoort Racing,21,35:38.733,DNF,-,150.444,1:28.337,11,1036,2022,ROUND8Summary,,DNF,30,R  Villagómez,VIL,Van Amersfoort Racing,2138.733,88.337,
DNF20D. VidalesVIDCampos Racing,16,26:15.742,DNF,-,155.545,1:28.080,3,1036,2022,ROUND8Summary,,DNF,20,D  Vidales,VID,Campos Racing,1575.742,88.08,
DNF25W. AlataloALAJenzer Motorsport,3,4:37.705,DNF,-,164.842,1:28.198,3,1036,2022,ROUND8Summary,,DNF,25,W  Alatalo,ALA,Jenzer Motorsport,277.705,88.19800000000001,
DNF27B. BenavidesBENCarlin,3,4:37.548,DNF,-,164.935,1:28.834,3,1036,2022,ROUND8Summary,,DNF,27,B  Benavides,BEN,Carlin,277.548,88.834,
13Z. MaloneyMALTrident,15,28:00.288,-,-,185.509,1:39.505,7,1037,2022,ROUND9Summary,,,13,Z  Maloney,MAL,Trident,1680.288,99.505,
26O. BearmanBEAPREMA Racing,15,28:00.875,0.587,0.587,185.444,1:39.093,11,1037,2022,ROUND9Summary,,,26,O  Bearman,BEA,PREMA Racing,1680.875,99.093,0.587
35J. CrawfordCRAPREMA Racing,15,28:05.312,5.024,4.437,184.956,1:39.350,7,1037,2022,ROUND9Summary,,,35,J  Crawford,CRA,PREMA Racing,1685.312,99.35,5.024
47V. MartinsMARART Grand Prix,15,28:06.349,6.061,1.037,184.842,1:39.708,10,1037,2022,ROUND9Summary,,,47,V  Martins,MAR,ART Grand Prix,1686.349,99.708,6.061
54A. LeclercLECPREMA Racing,15,28:06.374,6.086,0.025,184.84,1:39.348,7,1037,2022,ROUND9Summary,,,54,A  Leclerc,LEC,PREMA Racing,1686.374,99.348,6.086
62R. StanekSTATrident,15,28:06.708,6.420,0.334,184.803,1:39.480,13,1037,2022,ROUND9Summary,,,62,R  Stanek,STA,Trident,1686.708,99.48,6.42
725W. AlataloALAJenzer Motorsport,15,28:09.916,9.628,3.208,184.452,1:39.489,7,1037,2022,ROUND9Summary,,,725,W  Alatalo,ALA,Jenzer Motorsport,1689.916,99.489,9.628
81J. EdgarEDGTrident,15,28:12.368,12.080,2.452,184.185,1:38.887,8,1037,2022,ROUND9Summary,,,81,J  Edgar,EDG,Trident,1692.368,98.887,12.08
918I. HadjarHADHitech Grand Prix,15,28:13.843,13.555,1.475,184.025,1:39.242,9,1037,2022,ROUND9Summary,,,918,I  Hadjar,HAD,Hitech Grand Prix,1693.843,99.242,13.555
1031R. UshijimaUSHVan Amersfoort Racing,15,28:14.516,14.228,0.673,183.951,1:39.480,9,1037,2022,ROUND9Summary,,,1031,R  Ushijima,USH,Van Amersfoort Racing,1694.516,99.48,14.228
1126Z. O'SullivanOSUCarlin,15,28:14.984,14.696,0.468,183.901,1:39.846,9,1037,2022,ROUND9Summary,,,1126,Z  O'Sullivan,OSU,Carlin,1694.984,99.846,14.696
1223I. CohenCOHJenzer Motorsport,15,28:15.901,15.613,0.917,183.801,1:39.567,9,1037,2022,ROUND9Summary,,,1223,I  Cohen,COH,Jenzer Motorsport,1695.901,99.567,15.613
1312K. MainiMAIMP Motorsport,15,28:16.246,15.95,0.345,183.224,1:39.986,9,1037,2022,ROUND9Summary,,,1312,K  Maini,MAI,MP Motorsport,1696.246,99.986,15.95
1427B. BenavidesBENCarlin,15,28:17.108,16.820,0.862,183.671,1:39.992,15,1037,2022,ROUND9Summary,,,1427,B  Benavides,BEN,Carlin,1697.108,99.992,16.82
1529F. ColapintoCOLVan Amersfoort Racing,15,28:18.319,18.031,1.211,183.54,1:39.181,8,1037,2022,ROUND9Summary,,,1529,F  Colapinto,COL,Van Amersfoort Racing,1698.319,99.181,18.031
1616F. PizziPIZCharouz Racing System,15,28:21.484,21.196,0.238,183.198,1:40.178,9,1037,2022,ROUND9Summary,,,1616,F  Pizzi,PIZ,Charouz Racing System,1701.484,100.178,21.196
1721H. YeanyYEACampos Racing,15,28:21.586,21.298,0.102,183.187,1:39.813,12,1037,2022,ROUND9Summary,,,1721,H  Yeany,YEA,Campos Racing,1701.586,99.813,21.298
1824F. MalvestitiMALJenzer Motorsport,15,28:22.095,21.807,0.509,183.132,1:40.447,9,1037,2022,ROUND9Summary,,,1824,F  Malvestiti,MAL,Jenzer Motorsport,1702.095,100.447,21.807
1914L. TóthTOTCharouz Racing System,15,28:24.078,23.790,1.983,182.919,1:40.490,9,1037,2022,ROUND9Summary,,,1914,L  Tóth,TOT,Charouz Racing System,1704.078,100.49,23.79
2010C. ColletCCOMP Motorsport,15,28:24.612,24.324,0.534,182.862,1:39.571,8,1037,2022,ROUND9Summary,,,2010,C  Collet,CCO,MP Motorsport,1704.612,99.571,24.324
2119N. AzmanAZMHitech Grand Prix,15,28:29.503,29.215,4.891,182.339,1:40.742,14,1037,2022,ROUND9Summary,,,2119,N  Azman,AZM,Hitech Grand Prix,1709.503,100.742,29.215
2228E. TrulliTRUCarlin,15,28:30.433,30.145,0.930,182.24,1:40.126,15,1037,2022,ROUND9Summary,,,2228,E  Trulli,TRU,Carlin,1710.433,100.126,30.145
2315A. FamularoFAMCharouz Racing System,15,28:43.397,43.109,12.964,180.869,1:40.405,10,1037,2022,ROUND9Summary,,,2315,A  Famularo,FAM,Charouz Racing System,1723.397,100.405,43.109
249J. CorreaJCOART Grand Prix,15,29:02.115,61.827,18.718,178.925,1:39.427,8,1037,2022,ROUND9Summary,,,249,J  Correa,JCO,ART Grand Prix,1742.115,99.427,61.827
2517K. FrederickFREHitech Grand Prix,15,29:02.856,62.568,0.741,178.849,1:40.106,8,1037,2022,ROUND9Summary,,,2517,K  Frederick,FRE,Hitech Grand Prix,1742.856,100.106,62.568
2622J. MartíMARCampos Racing,15,29:33.305,93.017,30.449,175.778,1:39.305,8,1037,2022,ROUND9Summary,,,2622,J  Martí,MAR,Campos Racing,1773.305,99.305,93.017
DNF11A. SmolyarSMOMP Motorsport,14,26:47.007,DNF,-,180.991,1:39.695,7,1037,2022,ROUND9Summary,,DNF,11,A  Smolyar,SMO,MP Motorsport,1607.007,99.695,
DNF8G. SaucySAUART Grand Prix,13,25:15.675,DNF,-,178.138,1:39.416,9,1037,2022,ROUND9Summary,,DNF,8,G  Saucy,SAU,ART Grand Prix,1515.675,99.416,
15G. BortoletoBORTrident,22,44:33.107,-,-,160.017,1:50.743,2,1039,2023,ROUND1Summary,,,15,G  Bortoleto,BOR,Trident,2673.107,110.743,
26O. GoetheGOETrident,22,44:33.976,0.869,0.869,159.965,1:51.654,2,1039,2023,ROUND1Summary,,,26,O  Goethe,GOE,Trident,2673.976,111.654,0.869
32D. BeganovicBEGPREMA Racing,22,44:34.216,1.109,0.240,159.951,1:52.077,2,1039,2023,ROUND1Summary,,,32,D  Beganovic,BEG,PREMA Racing,2674.216,112.077,1.109
48G. SaucySAUART Grand Prix,22,44:34.431,1.324,0.215,159.938,1:51.316,2,1039,2023,ROUND1Summary,,,48,G  Saucy,SAU,ART Grand Prix,2674.431,111.316,1.324
516L. BrowningBROHitech Pulse-Eight,22,44:34.798,1.691,0.367,159.916,1:52.388,6,1039,2023,ROUND1Summary,,,516,L  Browning,BRO,Hitech Pulse-Eight,2674.798,112.388,1.691
623J. MartíMARCampos Racing,22,44:34.955,1.848,0.157,159.907,1:52.686,4,1039,2023,ROUND1Summary,,,623,J  Martí,MAR,Campos Racing,2674.955,112.686,1.848
77K. FrederickFREART Grand Prix,22,44:35.221,2.114,0.266,159.891,1:52.109,2,1039,2023,ROUND1Summary,,,77,K  Frederick,FRE,ART Grand Prix,2675.221,112.109,2.114
815G. MinìMINHitech Pulse-Eight,22,44:37.707,4.600,2.486,159.742,1:51.322,2,1039,2023,ROUND1Summary,,,815,G  Minì,MIN,Hitech Pulse-Eight,2677.707,111.322,4.6
914S. MontoyaMONHitech Pulse-Eight,22,44:39.921,6.814,2.214,159.61,1:52.947,3,1039,2023,ROUND1Summary,,,914,S  Montoya,MON,Hitech Pulse-Eight,2679.921,112.947,6.814
1010F. ColapintoCOLMP Motorsport,22,44:42.941,9.834,3.020,159.431,1:52.758,3,1039,2023,ROUND1Summary,,,1010,F  Colapinto,COL,MP Motorsport,2682.941,112.758,9.834
113Z. O'SullivanOSUPREMA Racing,22,44:48.938,15.831,2.650,159.075,1:52.659,4,1039,2023,ROUND1Summary,,,113,Z  O'Sullivan,OSU,PREMA Racing,2688.938,112.659,15.831
121P. AronAROPREMA Racing,22,44:51.288,13.181,3.347,159.232,1:52.146,3,1039,2023,ROUND1Summary,,,121,P  Aron,ARO,PREMA Racing,2691.288,112.146,13.181
1324C. MansellMANCampos Racing,22,44:51.372,18.265,2.434,158.931,1:53.088,4,1039,2023,ROUND1Summary,,,1324,C  Mansell,MAN,Campos Racing,2691.372,113.088,18.265
1417C. ColletCCOVan Amersfoort Racing,22,44:52.309,19.202,0.937,158.876,1:53.001,4,1039,2023,ROUND1Summary,,,1417,C  Collet,CCO,Van Amersfoort Racing,2692.309,113.001,19.202
159N. TsolovTSOART Grand Prix,22,44:52.334,19.227,0.025,158.875,1:52.811,3,1039,2023,ROUND1Summary,,,159,N  Tsolov,TSO,ART Grand Prix,2692.334,112.811,19.227
1627T. BarnardBARJenzer Motorsport,22,44:52.709,19.602,0.375,158.852,1:53.114,4,1039,2023,ROUND1Summary,,,1627,T  Barnard,BAR,Jenzer Motorsport,2692.709,113.114,19.602
1726N. BedrinBEDJenzer Motorsport,22,44:55.129,22.022,2.420,158.71,1:53.341,3,1039,2023,ROUND1Summary,,,1726,N  Bedrin,BED,Jenzer Motorsport,2695.129,113.341,22.022
1822I. CohenCOHCarlin,22,44:58.309,25.202,0.114,158.523,1:52.931,3,1039,2023,ROUND1Summary,,,1822,I  Cohen,COH,Carlin,2698.309,112.931,25.202
1918R. VillagómezVILVan Amersfoort Racing,22,44:58.743,25.636,0.434,158.497,1:53.198,4,1039,2023,ROUND1Summary,,,1918,R  Villagómez,VIL,Van Amersfoort Racing,2698.743,113.198,25.636
2029S. FloerschFLOPHM Racing by Charouz,22,45:01.540,28.433,2.797,158.333,1:53.547,5,1039,2023,ROUND1Summary,,,2029,S  Floersch,FLO,PHM Racing by Charouz,2701.54,113.547,28.433
2120O. GrayGRACarlin,22,45:03.195,25.088,3.066,158.529,1:53.208,4,1039,2023,ROUND1Summary,,,2120,O  Gray,GRA,Carlin,2703.195,113.208,25.088
2221H. YeanyYEACarlin,22,45:08.568,35.461,7.028,157.922,1:53.215,3,1039,2023,ROUND1Summary,,,2221,H  Yeany,YEA,Carlin,2708.568,113.215,35.461
2312J. EdgarEDGMP Motorsport,22,45:09.289,36.182,0.721,157.88,1:52.623,2,1039,2023,ROUND1Summary,,,2312,J  Edgar,EDG,MP Motorsport,2709.289,112.623,36.182
2431P. WisnickiWISPHM Racing by Charouz,22,45:10.472,37.365,1.183,157.811,1:54.025,6,1039,2023,ROUND1Summary,,,2431,P  Wisnicki,WIS,PHM Racing by Charouz,2710.472,114.025,37.365
2530R. FariaFARPHM Racing by Charouz,22,45:18.411,45.304,7.939,157.351,1:54.282,5,1039,2023,ROUND1Summary,,,2530,R  Faria,FAR,PHM Racing by Charouz,2718.411,114.282,45.304
2625H. BarterBARCampos Racing,22,45:40.622,67.515,22.211,156.075,1:52.349,2,1039,2023,ROUND1Summary,,,2625,H  Barter,BAR,Campos Racing,2740.622,112.349,67.515
274L. FornaroliFORTrident,21,45:04.980,1 LAP,1 LAP,150.929,1:52.030,3,1039,2023,ROUND1Summary,,,274,L  Fornaroli,FOR,Trident,2704.98,112.03,
DNF19T. SmithSMIVan Amersfoort Racing,20,40:17.947,DNF,-,160.788,1:53.263,11,1039,2023,ROUND1Summary,,DNF,19,T  Smith,SMI,Van Amersfoort Racing,2417.947,113.263,
DNF28A. GarcíaGARJenzer Motorsport,19,38:20.558,DNF,-,160.524,1:53.898,6,1039,2023,ROUND1Summary,,DNF,28,A  García,GAR,Jenzer Motorsport,2300.558,113.898,
DNF11M. BoyaBOYMP Motorsport,6,11:33.115,DNF,-,167.38,1:53.113,4,1039,2023,ROUND1Summary,,DNF,11,M  Boya,BOY,MP Motorsport,693.115,113.113,
15G. BortoletoBORTrident,23,43:41.950,-,-,166.676,1:34.570,10,1040,2023,ROUND2Summary,,,15,G  Bortoleto,BOR,Trident,2621.95,94.57,
28G. SaucySAUART Grand Prix,23,43:42.546,0.596,0.596,166.638,1:34.405,17,1040,2023,ROUND2Summary,,,28,G  Saucy,SAU,ART Grand Prix,2622.546,94.405,0.596
315G. MinìMINHitech Pulse-Eight,23,43:44.982,3.032,2.436,166.484,1:34.769,17,1040,2023,ROUND2Summary,,,315,G  Minì,MIN,Hitech Pulse-Eight,2624.982,94.769,3.032
44L. FornaroliFORTrident,23,43:45.166,3.216,0.184,166.472,1:34.774,20,1040,2023,ROUND2Summary,,,44,L  Fornaroli,FOR,Trident,2625.166,94.774,3.216
53Z. O'SullivanOSUPREMA Racing,23,43:45.514,3.564,0.348,166.450,1:34.624,17,1040,2023,ROUND2Summary,,,53,Z  O'Sullivan,OSU,PREMA Racing,2625.514,94.624,3.564
61P. AronAROPREMA Racing,23,43:46.343,4.393,0.829,166.398,1:34.517,18,1040,2023,ROUND2Summary,,,61,P  Aron,ARO,PREMA Racing,2626.343,94.517,4.393
723J. MartíMARCampos Racing,23,43:50.688,8.738,4.345,166.123,1:34.533,8,1040,2023,ROUND2Summary,,,723,J  Martí,MAR,Campos Racing,2630.688,94.533,8.738
816L. BrowningBROHitech Pulse-Eight,23,43:51.141,9.191,0.453,166.094,1:34.572,11,1040,2023,ROUND2Summary,,,816,L  Browning,BRO,Hitech Pulse-Eight,2631.141,94.572,9.191
927T. BarnardBARJenzer Motorsport,23,43:55.539,13.589,4.398,165.817,1:34.880,17,1040,2023,ROUND2Summary,,,927,T  Barnard,BAR,Jenzer Motorsport,2635.539,94.88,13.589
1024C. MansellMANCampos Racing,23,43:56.306,14.356,0.767,165.769,1:34.542,17,1040,2023,ROUND2Summary,,,1024,C  Mansell,MAN,Campos Racing,2636.306,94.542,14.356
1112J. EdgarEDGMP Motorsport,23,43:56.878,14.928,0.572,165.733,1:34.649,9,1040,2023,ROUND2Summary,,,1112,J  Edgar,EDG,MP Motorsport,2636.878,94.649,14.928
1219T. SmithSMIVan Amersfoort Racing,23,43:57.532,15.582,0.654,165.692,1:35.208,19,1040,2023,ROUND2Summary,,,1219,T  Smith,SMI,Van Amersfoort Racing,2637.532,95.208,15.582
132D. BeganovicBEGPREMA Racing,23,44:00.507,18.55,2.975,165.505,1:34.498,21,1040,2023,ROUND2Summary,,,132,D  Beganovic,BEG,PREMA Racing,2640.507,94.498,18.55
1420O. GrayGRACarlin,23,44:00.716,18.766,0.209,165.492,1:35.561,19,1040,2023,ROUND2Summary,,,1420,O  Gray,GRA,Carlin,2640.716,95.561,18.766
1525H. BarterBARCampos Racing,23,44:00.984,19.034,0.268,165.475,1:35.163,19,1040,2023,ROUND2Summary,,,1525,H  Barter,BAR,Campos Racing,2640.984,95.163,19.034
1617C. ColletCCOVan Amersfoort Racing,23,44:01.376,19.426,0.392,165.451,1:34.468,18,1040,2023,ROUND2Summary,,,1617,C  Collet,CCO,Van Amersfoort Racing,2641.376,94.468,19.426
1721H. YeanyYEACarlin,23,44:01.595,19.645,0.219,165.437,1:35.550,19,1040,2023,ROUND2Summary,,,1721,H  Yeany,YEA,Carlin,2641.595,95.55,19.645
1829S. FloerschFLOPHM Racing by Charouz,23,44:05.556,23.606,3.961,165.189,1:35.984,22,1040,2023,ROUND2Summary,,,1829,S  Floersch,FLO,PHM Racing by Charouz,2645.556,95.984,23.606
1918R. VillagómezVILVan Amersfoort Racing,23,44:10.626,28.676,5.070,164.873,1:35.375,21,1040,2023,ROUND2Summary,,,1918,R  Villagómez,VIL,Van Amersfoort Racing,2650.626,95.375,28.676
2028A. GarcíaGARJenzer Motorsport,23,44:11.985,30.035,1.359,164.789,1:36.568,19,1040,2023,ROUND2Summary,,,2028,A  García,GAR,Jenzer Motorsport,2651.985,96.568,30.035
219N. TsolovTSOART Grand Prix,23,44:12.014,30.064,0.029,164.787,1:35.479,22,1040,2023,ROUND2Summary,,,219,N  Tsolov,TSO,ART Grand Prix,2652.014,95.479,30.064
226O. GoetheGOETrident,23,44:38.034,56.084,26.020,163.186,1:34.607,21,1040,2023,ROUND2Summary,,,226,O  Goethe,GOE,Trident,2678.034,94.607,56.084
DNF26N. BedrinBEDJenzer Motorsport,22,42:21.514,DNF,-,164.475,1:35.204,22,1040,2023,ROUND2Summary,,DNF,26,N  Bedrin,BED,Jenzer Motorsport,2541.514,95.204,
