driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s,laps_clean,position,winner_time_s,best_race_lap_s,race_max_laps,rel_laps,time_from_winner_s,best_lap_from_best_s,avg_lap_time_s,finished,is_dnf,is_dns,is_dsq,position_clean,team_avg_pos_season,team_speed,driver_speed,driver_top10_rate,race_avg_lap_time_s,driver_vs_team,lap_vs_race_avg,session_round
132G. MinìMINPREMA Racing,15,41:41.850,8.133,0.862,150.996,2:07.002,15,1057,2024,ROUND9Summary,,,132,G  Minì,MIN,PREMA Racing,2501.85,127.002,8.133,15.0,13.0,2493.717,125.77,15.0,1.0,8.133,1.232,166.79,1,0,0,0,13.0,7.556,111.91523822676785,111.641,0.6,166.44331074074074,54.875,0.347,9
1428J. DufekDUFAIX Racing,15,41:43.239,9.522,1.142,150.912,2:06.969,15,1057,2024,ROUND9Summary,,,1428,J  Dufek,DUF,AIX Racing,2503.239,126.969,9.522,15.0,14.0,2493.717,125.77,15.0,1.0,9.522,1.199,166.883,1,0,0,0,14.0,18.48,113.6561968365817,114.384,0.1,166.44331074074074,53.226,0.439,9
1526T. InthraphuvasakINTAIX Racing,15,41:44.403,10.686,0.347,150.842,2:06.973,15,1057,2024,ROUND9Summary,,,1526,T  Inthraphuvasak,INT,AIX Racing,2504.403,126.973,10.686,15.0,15.0,2493.717,125.77,15.0,1.0,10.686,1.203,166.96,1,0,0,0,15.0,18.48,113.6561968365817,113.507,0.0,166.44331074074074,53.304,0.517,9
1622T. SmithSMIVan Amersfoort Racing,15,41:44.846,11.129,0.443,150.815,2:07.051,15,1057,2024,ROUND9Summary,,,1622,T  Smith,SMI,Van Amersfoort Racing,2504.846,127.051,11.129,15.0,16.0,2493.717,125.77,15.0,1.0,11.129,1.281,166.99,1,0,0,0,16.0,16.0,113.12320651949416,112.953,0.1,166.44331074074074,53.867,0.546,9
1719M. ZagazetaZAGJenzer Motorsport,15,41:45.865,12.148,1.019,150.754,2:29.993,7,1057,2024,ROUND9Summary,,,1719,M  Zagazeta,ZAG,Jenzer Motorsport,2505.865,149.993,12.148,15.0,17.0,2493.717,125.77,15.0,1.0,12.148,24.223,167.058,1,0,0,0,17.0,17.667,114.72065601598413,113.597,0.0,166.44331074074074,52.337,0.614,9
188K. SztukaSZTMP Motorsport,15,41:46.513,12.796,0.648,150.715,2:07.666,15,1057,2024,ROUND9Summary,,,188,K  Sztuka,SZT,MP Motorsport,2506.513,127.666,12.796,15.0,18.0,2493.717,125.77,15.0,1.0,12.796,1.896,167.101,1,0,0,0,18.0,13.69,112.93890246912079,112.818,0.0,166.44331074074074,54.162,0.658,9
1910O. GoetheGOECampos Racing,15,41:46.991,13.274,0.478,150.686,2:08.297,15,1057,2024,ROUND9Summary,,,1910,O  Goethe,GOE,Campos Racing,2506.991,128.297,13.274,15.0,19.0,2493.717,125.77,15.0,1.0,13.274,2.527,167.133,1,0,0,0,19.0,11.68,114.24325700726595,112.246,0.889,166.44331074074074,52.889,0.689,9
2027N. BedrinBEDAIX Racing,15,41:51.480,17.763,3.005,150.417,2:07.216,15,1057,2024,ROUND9Summary,,,2027,N  Bedrin,BED,AIX Racing,2511.48,127.216,17.763,15.0,20.0,2493.717,125.77,15.0,1.0,17.763,1.446,167.432,1,0,0,0,20.0,18.48,113.6561968365817,113.063,0.3,166.44331074074074,53.776,0.989,9
2123C. MansellMANART Grand Prix,15,41:52.097,18.380,0.617,150.38,2:06.875,15,1057,2024,ROUND9Summary,,,2123,C  Mansell,MAN,ART Grand Prix,2512.097,126.875,18.38,15.0,21.0,2493.717,125.77,15.0,1.0,18.38,1.105,167.473,1,0,0,0,21.0,11.115,111.73084568262334,112.136,0.7,166.44331074074074,55.742,1.03,9
2216C. ShieldsSHIHitech Pulse-Eight,15,41:53.714,19.997,1.167,150.283,2:09.050,15,1057,2024,ROUND9Summary,,,2216,C  Shields,SHI,Hitech Pulse-Eight,2513.714,129.05,19.997,15.0,22.0,2493.717,125.77,15.0,1.0,19.997,3.28,167.581,1,0,0,0,22.0,14.333,110.67547071701911,108.977,0.0,166.44331074074074,56.905,1.138,9
2317C. WurzWURJenzer Motorsport,15,41:53.953,20.236,0.239,150.269,2:08.820,15,1057,2024,ROUND9Summary,,,2317,C  Wurz,WUR,Jenzer Motorsport,2513.953,128.82,20.236,15.0,23.0,2493.717,125.77,15.0,1.0,20.236,3.05,167.597,1,0,0,0,23.0,17.667,114.72065601598413,118.257,0.1,166.44331074074074,52.876,1.154,9
2430P. WisnickiWISRodin Motorsport,15,41:54.056,20.339,0.103,150.263,2:06.915,15,1057,2024,ROUND9Summary,,,2430,P  Wisnicki,WIS,Rodin Motorsport,2514.056,126.915,20.339,15.0,24.0,2493.717,125.77,15.0,1.0,20.339,1.145,167.604,1,0,0,0,24.0,19.296,113.43384212285031,113.428,0.1,166.44331074074074,54.17,1.16,9
2531J. LoakeLOARodin Motorsport,15,41:58.475,24.758,4.419,149.999,2:29.472,10,1057,2024,ROUND9Summary,,,2531,J  Loake,LOA,Rodin Motorsport,2518.475,149.472,24.758,15.0,25.0,2493.717,125.77,15.0,1.0,24.758,23.702,167.898,1,0,0,0,25.0,19.296,113.43384212285031,114.337,0.1,166.44331074074074,54.464,1.455,9
DNF3A. LindbladLINPREMA Racing,9,25:57.962,DNF,-,145.371,2:54.478,9,1057,2024,ROUND9Summary,,DNF,3,A  Lindblad,LIN,PREMA Racing,1557.962,174.478,,9.0,,2493.717,125.77,15.0,0.6,,48.708,173.107,0,1,0,0,,7.556,111.91523822676785,112.029,0.6,166.44331074074074,61.192,6.664,9
DNF12M. BoyaBOYCampos Racing,9,25:58.302,DNF,-,145.339,2:54.358,9,1057,2024,ROUND9Summary,,DNF,12,M  Boya,BOY,Campos Racing,1558.302,174.358,,9.0,,2493.717,125.77,15.0,0.6,,48.588,173.145,0,1,0,0,,11.68,114.24325700726595,115.575,0.4,166.44331074074074,58.901,6.701,9
DNF21S. FloerschFLOVan Amersfoort Racing,6,17:28.821,DNF,-,143.818,2:57.710,6,1057,2024,ROUND9Summary,,DNF,21,S  Floersch,FLO,Van Amersfoort Racing,1048.821,177.71,,6.0,,2493.717,125.77,15.0,0.4,,51.94,174.804,0,1,0,0,,16.0,113.12320651949416,113.82,0.0,166.44331074074074,61.68,8.36,9
DNF15M. StenshorneSTEHitech Pulse-Eight,1,2:29.302,DNF,-,165.891,-,-,1057,2024,ROUND9Summary,,DNF,15,M  Stenshorne,STE,Hitech Pulse-Eight,149.302,,,1.0,,2493.717,125.77,15.0,0.067,,,149.302,0,1,0,0,,14.333,110.67547071701911,107.09,0.111,166.44331074074074,38.627,-17.141,9
DNF25T. TaponenTAPART Grand Prix,1,2:30.628,DNF,-,164.431,-,-,1057,2024,ROUND9Summary,,DNF,25,T  Taponen,TAP,ART Grand Prix,150.628,,,1.0,,2493.717,125.77,15.0,0.067,,,150.628,0,1,0,0,,11.115,111.73084568262334,150.628,0.0,166.44331074074074,38.897,-15.815,9
15S. MeguetounifMEGTrident,22,39:58.179,-,-,190.85,1:39.741,12,1058,2024,ROUND10Summary,,,15,S  Meguetounif,MEG,Trident,2398.179,99.741,,22.0,1.0,2398.179,99.435,22.0,1.0,0.0,0.306,109.008,1,0,0,0,1.0,8.966,111.94065027440159,111.607,0.4,111.23614877344878,-2.933,-2.228,10
24L. FornaroliFORTrident,22,40:02.766,4.587,4.587,190.485,1:39.605,12,1058,2024,ROUND10Summary,,,24,L  Fornaroli,FOR,Trident,2402.766,99.605,4.587,22.0,2.0,2398.179,99.435,22.0,1.0,4.587,0.17,109.217,1,0,0,0,2.0,8.966,111.94065027440159,111.791,1.0,111.23614877344878,-2.724,-2.02,10
323C. MansellMANART Grand Prix,22,40:03.701,5.522,0.935,190.411,1:39.656,12,1058,2024,ROUND10Summary,,,323,C  Mansell,MAN,ART Grand Prix,2403.701,99.656,5.522,22.0,3.0,2398.179,99.435,22.0,1.0,5.522,0.221,109.259,1,0,0,0,3.0,11.115,111.73084568262334,112.136,0.7,111.23614877344878,-2.472,-1.977,10
49A. DunneDUNMP Motorsport,22,40:05.041,6.862,1.340,190.305,1:39.937,12,1058,2024,ROUND10Summary,,,49,A  Dunne,DUN,MP Motorsport,2405.041,99.937,6.862,22.0,4.0,2398.179,99.435,22.0,1.0,6.862,0.502,109.32,1,0,0,0,4.0,13.69,112.93890246912079,113.773,0.5,111.23614877344878,-3.619,-1.916,10
515M. StenshorneSTEHitech Pulse-Eight,22,40:08.829,10.650,3.788,190.006,1:39.435,11,1058,2024,ROUND10Summary,,,515,M  Stenshorne,STE,Hitech Pulse-Eight,2408.829,99.435,10.65,22.0,5.0,2398.179,99.435,22.0,1.0,10.65,0.0,109.492,1,0,0,0,5.0,14.333,110.67547071701911,107.09,0.111,111.23614877344878,-1.183,-1.744,10
67T. TramnitzTRAMP Motorsport,22,40:11.068,12.889,2.239,189.83,1:39.690,10,1058,2024,ROUND10Summary,,,67,T  Tramnitz,TRA,MP Motorsport,2411.068,99.69,12.889,22.0,6.0,2398.179,99.435,22.0,1.0,12.889,0.255,109.594,1,0,0,0,6.0,13.69,112.93890246912079,112.226,0.4,111.23614877344878,-3.345,-1.642,10
720N. LeónLEOVan Amersfoort Racing,22,40:12.843,14.664,1.775,189.69,1:39.929,11,1058,2024,ROUND10Summary,,,720,N  León,LEO,Van Amersfoort Racing,2412.843,99.929,14.664,22.0,7.0,2398.179,99.435,22.0,1.0,14.664,0.494,109.675,1,0,0,0,7.0,16.0,113.12320651949416,112.579,0.5,111.23614877344878,-3.449,-1.561,10
824L. Van HoepenVANART Grand Prix,22,40:13.608,15.429,0.765,189.63,1:39.752,11,1058,2024,ROUND10Summary,,,824,L  Van Hoepen,VAN,ART Grand Prix,2413.608,99.752,15.429,22.0,8.0,2398.179,99.435,22.0,1.0,15.429,0.317,109.709,1,0,0,0,8.0,11.115,111.73084568262334,112.182,0.2,111.23614877344878,-2.021,-1.527,10
91D. BeganovicBEGPREMA Racing,22,40:15.250,17.071,1.642,189.501,1:39.671,11,1058,2024,ROUND10Summary,,,91,D  Beganovic,BEG,PREMA Racing,2415.25,99.671,17.071,22.0,9.0,2398.179,99.435,22.0,1.0,17.071,0.236,109.784,1,0,0,0,9.0,7.556,111.91523822676785,112.075,0.7,111.23614877344878,-2.131,-1.452,10
1028J. DufekDUFAIX Racing,22,40:16.975,18.796,1.725,189.366,1:40.345,11,1058,2024,ROUND10Summary,,,1028,J  Dufek,DUF,AIX Racing,2416.975,100.345,18.796,22.0,10.0,2398.179,99.435,22.0,1.0,18.796,0.91,109.862,1,0,0,0,10.0,18.48,113.6561968365817,114.384,0.1,111.23614877344878,-3.794,-1.374,10
1126T. InthraphuvasakINTAIX Racing,22,40:19.239,21.060,2.264,189.188,1:39.622,11,1058,2024,ROUND10Summary,,,1126,T  Inthraphuvasak,INT,AIX Racing,2419.239,99.622,21.06,22.0,11.0,2398.179,99.435,22.0,1.0,21.06,0.187,109.965,1,0,0,0,11.0,18.48,113.6561968365817,113.507,0.0,111.23614877344878,-3.691,-1.271,10
128K. SztukaSZTMP Motorsport,22,40:21.053,22.874,1.814,189.047,1:40.780,11,1058,2024,ROUND10Summary,,,128,K  Sztuka,SZT,MP Motorsport,2421.053,100.78,22.874,22.0,12.0,2398.179,99.435,22.0,1.0,22.874,1.345,110.048,1,0,0,0,12.0,13.69,112.93890246912079,112.818,0.0,111.23614877344878,-2.891,-1.188,10
1327N. BedrinBEDAIX Racing,22,40:21.651,23.472,0.598,189.0,1:40.868,10,1058,2024,ROUND10Summary,,,1327,N  Bedrin,BED,AIX Racing,2421.651,100.868,23.472,22.0,13.0,2398.179,99.435,22.0,1.0,23.472,1.433,110.075,1,0,0,0,13.0,18.48,113.6561968365817,113.063,0.3,111.23614877344878,-3.581,-1.161,10
1417C. WurzWURJenzer Motorsport,22,40:21.770,23.591,0.119,188.991,1:40.400,11,1058,2024,ROUND10Summary,,,1417,C  Wurz,WUR,Jenzer Motorsport,2421.77,100.4,23.591,22.0,14.0,2398.179,99.435,22.0,1.0,23.591,0.965,110.08,1,0,0,0,14.0,17.667,114.72065601598413,118.257,0.1,111.23614877344878,-4.64,-1.156,10
1522T. SmithSMIVan Amersfoort Racing,22,40:21.836,23.657,0.066,188.986,1:40.171,11,1058,2024,ROUND10Summary,,,1522,T  Smith,SMI,Van Amersfoort Racing,2421.836,100.171,23.657,22.0,15.0,2398.179,99.435,22.0,1.0,23.657,0.736,110.083,1,0,0,0,15.0,16.0,113.12320651949416,112.953,0.1,111.23614877344878,-3.04,-1.153,10
163A. LindbladLINPREMA Racing,22,40:23.973,25.794,2.137,188.819,1:39.678,11,1058,2024,ROUND10Summary,,,163,A  Lindblad,LIN,PREMA Racing,2423.973,99.678,25.794,22.0,16.0,2398.179,99.435,22.0,1.0,25.794,0.243,110.181,1,0,0,0,16.0,7.556,111.91523822676785,112.029,0.6,111.23614877344878,-1.735,-1.056,10
1725N. TsolovTSOART Grand Prix,22,40:24.648,26.469,0.675,188.766,1:40.362,11,1058,2024,ROUND10Summary,,,1725,N  Tsolov,TSO,ART Grand Prix,2424.648,100.362,26.469,22.0,17.0,2398.179,99.435,22.0,1.0,26.469,0.927,110.211,1,0,0,0,17.0,11.115,111.73084568262334,106.458,0.333,111.23614877344878,-1.52,-1.025,10
186S. RamosRAMTrident,22,40:25.092,26.913,0.444,188.732,1:39.708,11,1058,2024,ROUND10Summary,,,186,S  Ramos,RAM,Trident,2425.092,99.708,26.913,22.0,18.0,2398.179,99.435,22.0,1.0,26.913,0.273,110.231,1,0,0,0,18.0,8.966,111.94065027440159,112.424,0.5,111.23614877344878,-1.709,-1.005,10
1931J. LoakeLOARodin Motorsport,22,40:25.776,27.597,0.684,188.679,1:41.122,9,1058,2024,ROUND10Summary,,,1931,J  Loake,LOA,Rodin Motorsport,2425.776,101.122,27.597,22.0,19.0,2398.179,99.435,22.0,1.0,27.597,1.687,110.263,1,0,0,0,19.0,19.296,113.43384212285031,114.337,0.1,111.23614877344878,-3.171,-0.974,10
2014L. BrowningBROHitech Pulse-Eight,22,40:29.684,31.505,3.908,189.154,1:40.049,11,1058,2024,ROUND10Summary,,,2014,L  Browning,BRO,Hitech Pulse-Eight,2429.684,100.049,31.505,22.0,20.0,2398.179,99.435,22.0,1.0,31.505,0.614,110.44,1,0,0,0,20.0,14.333,110.67547071701911,111.89,0.8,111.23614877344878,-0.235,-0.796,10
2111S. MontoyaMONCampos Racing,22,41:36.285,98.106,70.509,183.349,1:39.834,11,1058,2024,ROUND10Summary,,,2111,S  Montoya,MON,Campos Racing,2496.285,99.834,98.106,22.0,21.0,2398.179,99.435,22.0,1.0,98.106,0.399,113.467,1,0,0,0,21.0,11.68,114.24325700726595,115.05,0.3,111.23614877344878,-0.776,2.231,10
DQ2G. MinìMINPREMA Racing,22,40:02.127,3.948,3.948,190.536,1:39.470,12,1058,2024,ROUND10Summary,,DQ,2,G  Minì,MIN,PREMA Racing,2402.127,99.47,3.948,22.0,,2398.179,99.435,22.0,1.0,,0.035,109.188,0,0,0,0,,7.556,111.91523822676785,111.641,0.6,111.23614877344878,-2.728,-2.049,10
DNF29C. VoisinVOIRodin Motorsport,21,38:26.722,DNF,-,189.376,1:39.675,11,1058,2024,ROUND10Summary,,DNF,29,C  Voisin,VOI,Rodin Motorsport,2306.722,99.675,,21.0,,2398.179,99.435,22.0,0.955,,0.24,109.844,0,1,0,0,,19.296,113.43384212285031,112.627,0.3,111.23614877344878,-3.59,-1.392,10
DNF10N. StrømstedSTRCampos Racing,21,38:47.374,DNF,-,188.505,1:40.358,12,1058,2024,ROUND10Summary,,DNF,10,N  Strømsted,STR,Campos Racing,2327.374,100.358,,21.0,,2398.179,99.435,22.0,0.955,,0.923,110.827,0,1,0,0,,11.68,114.24325700726595,110.827,0.0,111.23614877344878,-3.416,-0.409,10
DNF18M. EstersonESTJenzer Motorsport,14,29:07.302,DNF,-,166.459,1:39.823,10,1058,2024,ROUND10Summary,,DNF,18,M  Esterson,EST,Jenzer Motorsport,1747.302,99.823,,14.0,,2398.179,99.435,22.0,0.636,,0.388,124.807,0,1,0,0,,17.667,114.72065601598413,114.126,0.1,111.23614877344878,10.087,13.571,10
DNF12M. BoyaBOYCampos Racing,9,19:47.880,DNF,-,157.07,1:42.743,2,1058,2024,ROUND10Summary,,DNF,12,M  Boya,BOY,Campos Racing,1187.88,102.743,,9.0,,2398.179,99.435,22.0,0.409,,3.308,131.987,0,1,0,0,,11.68,114.24325700726595,115.575,0.4,111.23614877344878,17.743,20.751,10
DNF30P. WisnickiWISRodin Motorsport,3,5:47.898,DNF,-,176.637,1:49.131,2,1058,2024,ROUND10Summary,,DNF,30,P  Wisnicki,WIS,Rodin Motorsport,347.898,109.131,,3.0,,2398.179,99.435,22.0,0.136,,9.696,115.966,0,1,0,0,,19.296,113.43384212285031,113.428,0.1,111.23614877344878,2.532,4.73,10
DNF16C. ShieldsSHIHitech Pulse-Eight,2,3:35.019,DNF,-,188.807,-,-,1058,2024,ROUND10Summary,,DNF,16,C  Shields,SHI,Hitech Pulse-Eight,215.019,,,2.0,,2398.179,99.435,22.0,0.091,,,107.51,0,1,0,0,,14.333,110.67547071701911,108.977,0.0,111.23614877344878,-3.166,-3.727,10
DNF21S. FloerschFLOVan Amersfoort Racing,2,3:36.640,DNF,-,187.394,1:43.893,2,1058,2024,ROUND10Summary,,DNF,21,S  Floersch,FLO,Van Amersfoort Racing,216.64,103.893,,2.0,,2398.179,99.435,22.0,0.091,,4.458,108.32,0,1,0,0,,16.0,113.12320651949416,113.82,0.0,111.23614877344878,-4.803,-2.916,10
DNF19M. ZagazetaZAGJenzer Motorsport,2,3:37.339,DNF,-,186.792,1:43.861,2,1058,2024,ROUND10Summary,,DNF,19,M  Zagazeta,ZAG,Jenzer Motorsport,217.339,103.861,,2.0,,2398.179,99.435,22.0,0.091,,4.426,108.67,0,1,0,0,,17.667,114.72065601598413,113.597,0.0,111.23614877344878,-6.051,-2.567,10
15R. CâmaraCAMTRIDENT,16,34:43.966,-,-,145.881,1:49.748,11,1059,2025,ROUND1Summary,,,15,R  Câmara,CAM,TRIDENT,2083.966,109.748,,16.0,1.0,2083.966,109.748,16.0,1.0,0.0,0.0,130.248,1,0,0,0,1.0,7.593,114.31535681538406,114.378,0.8,130.78673883928573,15.933,-0.539,1
24N. StrømstedSTRTRIDENT,16,34:44.483,0.517,0.517,145.845,1:50.389,8,1059,2025,ROUND1Summary,,,24,N  Strømsted,STR,TRIDENT,2084.483,110.389,0.517,16.0,2.0,2083.966,109.748,16.0,1.0,0.517,0.641,130.28,1,0,0,0,2.0,7.593,114.31535681538406,114.804,0.7,130.78673883928573,15.965,-0.507,1
320T. NaëlNAEVan Amersfoort Racing,16,34:45.118,1.152,0.635,145.801,1:50.280,12,1059,2025,ROUND1Summary,,,320,T  Naël,NAE,Van Amersfoort Racing,2085.118,110.28,1.152,16.0,3.0,2083.966,109.748,16.0,1.0,1.152,0.532,130.32,1,0,0,0,3.0,15.115,115.98854423929895,113.95,0.5,130.78673883928573,14.331,-0.467,1
428N. BedrinBEDAIX Racing,16,34:45.697,1.732,0.580,145.76,1:50.661,10,1059,2025,ROUND1Summary,,,428,N  Bedrin,BED,AIX Racing,2085.697,110.661,1.732,16.0,4.0,2083.966,109.748,16.0,1.0,1.731,0.913,130.356,1,0,0,0,4.0,21.045,118.09299083685926,130.356,1.0,130.78673883928573,12.263,-0.431,1
517T. TramnitzTRAMP Motorsport,16,34:46.264,2.298,0.566,145.721,1:50.930,9,1059,2025,ROUND1Summary,,,517,T  Tramnitz,TRA,MP Motorsport,2086.264,110.93,2.298,16.0,5.0,2083.966,109.748,16.0,1.0,2.298,1.182,130.392,1,0,0,0,5.0,11.867,115.16305777365629,114.718,0.7,130.78673883928573,15.228,-0.395,1
66C. WurzWURTRIDENT,16,34:47.219,3.253,0.955,145.654,1:50.846,9,1059,2025,ROUND1Summary,,,66,C  Wurz,WUR,TRIDENT,2087.219,110.846,3.253,16.0,6.0,2083.966,109.748,16.0,1.0,3.253,1.098,130.451,1,0,0,0,6.0,7.593,114.31535681538406,113.703,0.4,130.78673883928573,16.136,-0.336,1
711T. InthraphuvasakINTCampos Racing,16,34:47.699,3.734,0.481,145.62,1:51.546,9,1059,2025,ROUND1Summary,,,711,T  Inthraphuvasak,INT,Campos Racing,2087.699,111.546,3.734,16.0,7.0,2083.966,109.748,16.0,1.0,3.733,1.798,130.481,1,0,0,0,7.0,8.786,114.356535095258,113.799,0.4,130.78673883928573,16.125,-0.306,1
814M. StenshorneSTEHitech TGR,16,34:48.889,4.923,1.189,145.538,1:51.295,12,1059,2025,ROUND1Summary,,,814,M  Stenshorne,STE,Hitech TGR,2088.889,111.295,4.923,16.0,8.0,2083.966,109.748,16.0,1.0,4.923,1.547,130.556,1,0,0,0,8.0,16.679,116.87923325415902,115.843,0.5,130.78673883928573,13.676,-0.231,1
925R. BilinskiBILRodin Motorsport,16,34:49.617,5.651,0.728,145.487,1:51.740,9,1059,2025,ROUND1Summary,,,925,R  Bilinski,BIL,Rodin Motorsport,2089.617,111.74,5.651,16.0,9.0,2083.966,109.748,16.0,1.0,5.651,1.992,130.601,1,0,0,0,9.0,12.308,113.9087699920339,113.164,0.5,130.78673883928573,16.692,-0.186,1
103U. UgochukwuUGOPREMA Racing,16,34:51.159,7.193,1.542,145.38,1:52.168,11,1059,2025,ROUND1Summary,,,103,U  Ugochukwu,UGO,PREMA Racing,2091.159,112.168,7.193,16.0,10.0,2083.966,109.748,16.0,1.0,7.193,2.42,130.697,1,0,0,0,10.0,13.87,115.14302703325318,118.165,0.3,130.78673883928573,15.554,-0.089,1
1115J. DufekDUFHitech TGR,16,34:52.313,8.347,1.154,145.299,1:51.386,12,1059,2025,ROUND1Summary,,,1115,J  Dufek,DUF,Hitech TGR,2092.313,111.386,8.347,16.0,11.0,2083.966,109.748,16.0,1.0,8.347,1.638,130.77,1,0,0,0,11.0,16.679,116.87923325415902,110.144,0.0,130.78673883928573,13.89,-0.017,1
127L. Van HoepenVANART Grand Prix,16,34:52.784,8.819,0.472,145.267,1:51.860,9,1059,2025,ROUND1Summary,,,127,L  Van Hoepen,VAN,ART Grand Prix,2092.784,111.86,8.819,16.0,12.0,2083.966,109.748,16.0,1.0,8.818,2.112,130.799,1,0,0,0,12.0,13.214,114.38655093691507,114.407,0.5,130.78673883928573,16.412,0.012,1
132N. LeónLEOPREMA Racing,16,34:53.928,9.962,1.143,145.187,1:52.089,9,1059,2025,ROUND1Summary,,,132,N  León,LEO,PREMA Racing,2093.928,112.089,9.962,16.0,13.0,2083.966,109.748,16.0,1.0,9.962,2.341,130.87,1,0,0,0,13.0,13.87,115.14302703325318,113.25,0.2,130.78673883928573,15.727,0.084,1
1424L. SharpSHARodin Motorsport,16,34:55.637,11.671,1.709,145.069,1:52.077,9,1059,2025,ROUND1Summary,,,1424,L  Sharp,SHA,Rodin Motorsport,2095.637,112.077,11.671,16.0,14.0,2083.966,109.748,16.0,1.0,11.671,2.329,130.977,1,0,0,0,14.0,12.308,113.9087699920339,115.235,0.1,130.78673883928573,17.069,0.191,1
1526J. SagreraSAGAIX Racing,16,34:56.771,12.805,1.134,144.99,1:51.644,8,1059,2025,ROUND1Summary,,,1526,J  Sagrera,SAG,AIX Racing,2096.771,111.644,12.805,16.0,15.0,2083.966,109.748,16.0,1.0,12.805,1.896,131.048,1,0,0,0,15.0,21.045,118.09299083685926,123.996,0.0,130.78673883928573,12.955,0.261,1
1621S. RamosRAMVan Amersfoort Racing,16,34:57.833,13.867,1.062,144.917,1:51.698,9,1059,2025,ROUND1Summary,,,1621,S  Ramos,RAM,Van Amersfoort Racing,2097.833,111.698,13.867,16.0,16.0,2083.966,109.748,16.0,1.0,13.867,1.95,131.115,1,0,0,0,16.0,15.115,115.98854423929895,117.422,0.222,130.78673883928573,15.126,0.328,1
1710M. BoyaBOYCampos Racing,16,34:59.150,15.184,1.317,144.826,1:51.999,10,1059,2025,ROUND1Summary,,,1710,M  Boya,BOY,Campos Racing,2099.15,111.999,15.184,16.0,17.0,2083.966,109.748,16.0,1.0,15.184,2.251,131.197,1,0,0,0,17.0,8.786,114.356535095258,113.409,0.7,130.78673883928573,16.84,0.41,1
1816G. XieXIEHitech TGR,16,35:00.705,16.739,1.555,144.719,1:52.218,10,1059,2025,ROUND1Summary,,,1816,G  Xie,XIE,Hitech TGR,2100.705,112.218,16.739,16.0,18.0,2083.966,109.748,16.0,1.0,16.739,2.47,131.294,1,0,0,0,18.0,16.679,116.87923325415902,119.215,0.0,130.78673883928573,14.415,0.507,1
1922I. DominguesDOMVan Amersfoort Racing,16,35:02.892,18.926,2.187,144.568,1:52.521,11,1059,2025,ROUND1Summary,,,1922,I  Domingues,DOM,Van Amersfoort Racing,2102.892,112.521,18.926,16.0,19.0,2083.966,109.748,16.0,1.0,18.926,2.773,131.431,1,0,0,0,19.0,15.115,115.98854423929895,116.211,0.1,130.78673883928573,15.442,0.644,1
208T. TaponenTAPART Grand Prix,16,35:03.242,19.276,0.350,144.544,1:52.379,11,1059,2025,ROUND1Summary,,,208,T  Taponen,TAP,ART Grand Prix,2103.242,112.379,19.276,16.0,20.0,2083.966,109.748,16.0,1.0,19.276,2.631,131.453,1,0,0,0,20.0,13.214,114.38655093691507,113.787,0.5,130.78673883928573,17.066,0.666,1
219J. WhartonWHAART Grand Prix,16,35:04.263,20.297,1.021,144.474,1:52.405,9,1059,2025,ROUND1Summary,,,219,J  Wharton,WHA,ART Grand Prix,2104.263,112.405,20.297,16.0,21.0,2083.966,109.748,16.0,1.0,20.297,2.657,131.516,1,0,0,0,21.0,13.214,114.38655093691507,114.966,0.1,130.78673883928573,17.13,0.73,1
2230M. ZagazetaZAGDAMS Lucas Oil,16,35:05.265,21.299,1.002,144.405,1:52.274,9,1059,2025,ROUND1Summary,,,2230,M  Zagazeta,ZAG,DAMS Lucas Oil,2105.265,112.274,21.299,16.0,22.0,2083.966,109.748,16.0,1.0,21.299,2.526,131.579,1,0,0,0,22.0,20.375,116.06061166942015,117.552,0.0,130.78673883928573,15.518,0.792,1
2318B. Del PinoDELMP Motorsport,16,35:05.346,21.380,0.081,144.4,1:52.146,7,1059,2025,ROUND1Summary,,,2318,B  Del Pino,DEL,MP Motorsport,2105.346,112.146,21.38,16.0,23.0,2083.966,109.748,16.0,1.0,21.38,2.398,131.584,1,0,0,0,23.0,11.867,115.16305777365629,117.026,0.3,130.78673883928573,16.421,0.797,1
2429N. LacorteLACDAMS Lucas Oil,16,35:06.218,22.252,0.872,144.34,1:51.847,7,1059,2025,ROUND1Summary,,,2429,N  Lacorte,LAC,DAMS Lucas Oil,2106.218,111.847,22.252,16.0,24.0,2083.966,109.748,16.0,1.0,22.252,2.099,131.639,1,0,0,0,24.0,20.375,116.06061166942015,117.79,0.0,130.78673883928573,15.578,0.852,1
2519A. GiustiGIUMP Motorsport,16,35:06.986,23.020,0.768,144.288,1:52.006,8,1059,2025,ROUND1Summary,,,2519,A  Giusti,GIU,MP Motorsport,2106.986,112.006,23.02,16.0,25.0,2083.966,109.748,16.0,1.0,23.02,2.258,131.687,1,0,0,0,25.0,11.867,115.16305777365629,113.745,0.7,130.78673883928573,16.524,0.9,1
261B. BadoerBADPREMA Racing,16,35:07.614,23.648,0.628,144.245,1:52.487,7,1059,2025,ROUND1Summary,,,261,B  Badoer,BAD,PREMA Racing,2107.614,112.487,23.648,16.0,26.0,2083.966,109.748,16.0,1.0,23.648,2.739,131.726,1,0,0,0,26.0,13.87,115.14302703325318,114.014,0.2,130.78673883928573,16.583,0.939,1
